iteration,job_bytes,wall_seconds,cpu_seconds,cpu_percent,wall_mb_per_second,hardware_busy_cycles,hardware_mb_per_second,mm2s_stall_cycles,s2mm_stall_cycles,profile_rx_allocate_wall_seconds,profile_rx_allocate_cpu_seconds,profile_rx_zero_wall_seconds,profile_rx_zero_cpu_seconds,profile_tx_flush_wall_seconds,profile_tx_flush_cpu_seconds,profile_rx_flush_wall_seconds,profile_rx_flush_cpu_seconds,profile_dma_wait_wall_seconds,profile_dma_wait_cpu_seconds,profile_invalidate_parse_wall_seconds,profile_invalidate_parse_cpu_seconds
0,34078752,0.08939862399984122,0.005141150000000039,5.750815583033101,381.19996119918494,4292614,396.9463827868054,32768,0,0.0,0.0,0.00016064700002971222,0.00016272600000100113,0.0001613110002836038,0.00016670099999949173,0.00013030499985688948,0.00013523999999875969,0.08749083900011101,0.003257874000000882,0.0005945540001448535,0.0006038030000006245
1,34078752,0.08962624900004812,0.005345409000000245,5.964111027336841,380.23182248742444,4292614,396.9463827868054,32768,0,0.0,0.0,0.0001555759999973816,0.00015667700000143725,0.00015603100018779514,0.00016171700000100486,0.00012759399987771758,0.00013127299999915465,0.0876985230001992,0.0034455169999993984,0.0006210830001691647,0.0006313969999993674
2,34078752,0.08953127899985702,0.005294047999999663,5.913070894483834,380.63515210203155,4292614,396.9463827868054,32768,0,0.0,0.0,0.0001612000000932312,0.00016248600000068336,0.00015754800006106962,0.00016303400000161616,0.0001266489998670295,0.00013086799999939558,0.08760972600020978,0.0033988819999990483,0.0006028829998285801,0.0006137509999994961
3,34078752,0.08945541299999604,0.005182534999999433,5.793428062312632,380.9579639412263,4292614,396.9463827868054,32768,0,0.0,0.0,0.00015454100002898485,0.0001561629999997649,0.00015307699959521415,0.00015843700000139904,0.00012739099975078716,0.0001319970000004389,0.08756570800005647,0.003318418000000989,0.0005997749999551161,0.000609070999999517
4,34078752,0.08942147700008718,0.005108214999999916,5.712514679213961,381.1025398290701,4292614,396.9463827868054,32768,0,0.0,0.0,0.0001551880000079109,0.0001582179999992661,0.0001543169996693905,0.0001596219999999704,0.00012906799975098693,0.00013349600000012174,0.08754269300015949,0.0032547109999985224,0.0005899170000702725,0.0005997909999990725
